                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8476,                 1.7614,                 2.1928,                0.60068,                0.34211,                 0.4115,                 0.2204,                 2.1503,                 2.4342,                 2.6112,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7162,                 1.6988,                 2.1402,                0.57402,                0.42105,                0.37546,                0.15037,                 1.9197,                 3.2268,                  2.481,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7239,                 1.5084,                 2.1734,                0.78694,                0.48625,                0.60423,                0.30411,                 2.1163,                 1.6451,                 2.4717,               0.001307,               0.001307,               0.001307
                     38,                 1.6723,                 1.4964,                 2.1275,                0.87452,                0.55031,                0.67074,                0.36611,                 1.7969,                 1.6118,                 2.1904,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6402,                 1.4639,                 2.0967,                 0.8702,                0.60526,                0.70986,                0.41192,                 1.8812,                 1.6499,                 2.4044,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6978,                 1.5405,                 2.0671,                0.85689,                0.52632,                0.58872,                0.30419,                 2.1035,                 1.6748,                 2.5735,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6415,                 1.4342,                 2.0687,                0.86175,                    0.5,                0.66322,                 0.3204,                 1.9123,                 1.5167,                 2.3444,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.669,                 1.4188,                 2.1376,                0.61471,                0.62982,                0.61377,                0.30828,                 1.9657,                 1.5129,                 2.4884,               0.001208,               0.001208,               0.001208
                     43,                 1.6122,                 1.3848,                 2.0223,                 0.8897,                0.63693,                 0.7526,                0.40782,                 1.5652,                 1.6015,                 2.1445,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.557,                 1.2776,                 1.9969,                0.84253,                0.56346,                 0.7231,                0.36189,                  1.889,                 1.3698,                 2.3012,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5753,                 1.3743,                 2.0387,                0.80299,                0.64378,                0.74616,                0.38122,                 1.8122,                 1.3493,                 2.3162,              0.0011486,              0.0011486,              0.0011486
